title,price,src,type
"	
华为p60 新品华为",4988.0,https://img14.360buyimg.com/n7/jfs/t1/89584/18/36132/131373/644653cfF5cd85335/14a00ef6ab4c0403.jpg,手机
"	
小米 MIXFOLD 小米折叠屏 二手",3895.0,https://img12.360buyimg.com/n7/jfs/t1/117469/12/35116/117472/64440e87Fc576e3b1/f1274b6df95f8b26.jpg,手机
"	
Apple iPhone XS Max 苹果xsmax",1819.0,https://img10.360buyimg.com/n7/jfs/t1/137562/5/28680/297902/62f61146E51f57795/abaa4299b5120def.png,手机
"	
小米 红米K50 5G Redmi",2399.0,https://img13.360buyimg.com/n7/jfs/t1/143228/19/35572/129458/643fc703F7c6174ae/dafbbdfe90dda0c5.jpg,手机
vivo iQOO Z7i 5000mAh轻薄长续航,999.0,https://img12.360buyimg.com/n7/jfs/t1/53636/29/18385/65055/643f5072F990b4da5/503263eae10ce77a.jpg,手机
小米红米Note 11 Pro+ 5G 全网通 智能拍照红米游戏,1599.0,https://img10.360buyimg.com/n7/jfs/t1/90945/23/38222/32962/644491d3F1e538280/9e2ff84b0b9b108f.jpg,手机
"	
华为 HUAWEI nova5Pro麒麟980芯片4800万像素 二手",808.0,https://img11.360buyimg.com/n7/jfs/t1/107899/12/38941/90862/6449673cFb91320c1/c93df539941f9f96.jpg,手机
华为mate50e 新品,4199.0,https://img13.360buyimg.com/n7/jfs/t1/199837/33/33119/116883/64424758Fa97bd0e6/93d2ec43e6856a03.jpg,手机
vivo iQOO Neo7 SE 12GB+256GB 电子蓝 天玑8200 120W超快闪充 120Hz柔性直屏 5G电竞,1999.0,https://img11.360buyimg.com/n7/jfs/t1/132333/17/31671/36580/6440acf4F698024b7/d0028d9b26df0fc4.jpg,手机
"	
xiaomi 小米11Ultra 5G骁龙888 陶瓷白 AMOLED四曲面柔性屏 陶瓷工艺 95新 白色 12G+256G (5G) 95成新",2539.0,https://img14.360buyimg.com/n7/jfs/t1/205317/27/30869/94856/64494bfaFf6759f11/0a324cd1812bf15c.png,手机
三星 SAMSUNG Galaxy A54 5G,3399.0,https://img11.360buyimg.com/n7/jfs/t1/146908/21/35401/50857/6432a4d8Fc3e2c6c9/6595f0706b03602a.jpg,手机
"	
【焕新机】Apple iPhone 8 Plus 苹果8plus二手",1089.0,https://img14.360buyimg.com/n7/jfs/t1/192135/11/30009/42027/63771bbeEc65c0aca/373f40d01809afb2.jpg,手机
飞利浦（PHILIPS）E528 移动联通电信全网通4G 老年人,259.0,https://img10.360buyimg.com/n7/jfs/t1/157593/25/36432/105525/6427d498Fcc80f656/925d2facd5bf898b.jpg,手机
Apple iPhone 苹果14pro（A2892）iPhone14pro A16芯片 5G,8089.0,https://img13.360buyimg.com/n7/jfs/t1/166532/21/36961/95913/6441de52Fa2cf1471/5e78b8fff934dc50.jpg,手机
OPPO Find X5 Pro 12GB+256GB 白瓷 全新骁龙8 自研影像芯片 哈苏影像 5000万双主摄 120Hz 80W闪充 5G,5499.0,https://img14.360buyimg.com/n7/jfs/t1/105854/1/38729/75276/6444de5aFf2cf0f0c/50e364cb97d1d4b1.jpg,手机
